,date,team,opponent,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
0,2022-05-22,Brentford,Leeds United,DavidRaya,MadsBechSørensen,PontusJansson,KristofferAjer,RicoHenry,MathiasJensen,ChristianEriksen,VitalyJanelt,BryanMbeumo,YoaneWissa,IvanToney,IllanMeslier,DiegoLlorente,LiamCooper,RobinKoch,JuniorFirpo,JackHarrison,Raphinha,SamGreenwood,KalvinPhillips,JoeGelhardt,Rodrigo
1,2022-05-22,Brighton & Hove Albion,West Ham United,RobertSánchez,MarcCucurella,AdamWebster,LewisDunk,JoëlVeltman,SollyMarch,PascalGroß,MoisésCaicedo,YvesBissouma,AlexisMacAllister,DannyWelbeck,LukaszFabianski,AaronCresswell,VladimírCoufal,CraigDawson,KurtZouma,PabloFornals,ManuelLanzini,DeclanRice,TomásSoucek,JarrodBowen,MichailAntonio
2,2022-05-22,Burnley,Newcastle United,NickPope,KevinLong,JamesTarkowski,NathanCollins,CharlieTaylor,DwightMcNeil,JoshBrownhill,ConnorRoberts,JackCork,MaxwelCornet,AshleyBarnes,MartinDúbravka,DanBurn,KieranTrippier,MattTargett,JamaalLascelles,SeanLongstaff,BrunoGuimarães,Joelinton,MiguelAlmirón,CallumWilson,AllanSaint-Maximin
3,2022-05-22,Chelsea,Watford,ÉdouardMendy,AntonioRüdiger,ThiagoSilva,CésarAzpilicueta,SaúlÑíguez,Kenedy,N'GoloKanté,ReeceJames,MasonMount,KaiHavertz,HakimZiyech,DanielBachmann,HassaneKamara,Samir,KikoFemenía,ChristianKabasele,TomCleverley,MoussaSissoko,EdoKayembe,JoãoPedro,KenSema,JoshuaKing
4,2022-05-22,Crystal Palace,Manchester United,VicenteGuaita,NathanielClyne,JoelWard,TyrickMitchell,JoachimAndersen,JeffreySchlupp,WillHughes,ConorGallagher,WilfriedZaha,JesurunRak-Sakyi,OdsonneÉdouard,DaviddeGea,VictorLindelöf,HarryMaguire,DiogoDalot,AlexTelles,BrunoFernandes,ScottMcTominay,Fred,AnthonyElanga,HannibalMejbri,EdinsonCavani
5,2022-05-22,Leicester City,Southampton,KasperSchmeichel,JonnyEvans,WesleyFofana,TimothyCastagne,JamesJustin,YouriTielemans,NampalysMendy,JamesMaddison,HarveyBarnes,KiernanDewsbury-Hall,JamieVardy,AlexMcCarthy,MohammedSalisu,JackStephens,KyleWalker-Peters,Lyanco,OriolRomeu,MohamedElyounoussi,JamesWard-Prowse,StuartArmstrong,NathanRedmond,AdamArmstrong
6,2022-05-22,Liverpool,Wolverhampton Wanderers,Alisson,AndrewRobertson,JoëlMatip,IbrahimaKonaté,TrentAlexander-Arnold,JordanHenderson,NabyKeïta,Thiago,SadioMané,LuisDíaz,DiogoJota,JoséSá,Toti,WillyBoly,ConorCoady,JoãoMoutinho,RayanAït-Nouri,Jonny,RúbenNeves,LeanderDendoncker,RaúlJiménez,PedroNeto
7,2022-05-22,Manchester City,Aston Villa,Ederson,Fernandinho,JohnStones,JoãoCancelo,AymericLaporte,KevinDeBruyne,BernardoSilva,Rodri,GabrielJesus,PhilFoden,RiyadMahrez,RobinOlsen,LucasDigne,CalumChambers,TyroneMings,MattyCash,PhilippeCoutinho,JacobRamsey,JohnMcGinn,DouglasLuiz,EmilianoBuendía,OllieWatkins
8,2022-05-22,Norwich City,Tottenham Hotspur,TimKrul,GrantHanley,SamByram,DimitrisGiannoulis,JacobSørensen,MaxAarons,KieranDowell,MathiasNormann,MilotRashica,PierreLees-Melou,TeemuPukki,HugoLloris,DavinsonSánchez,BenDavies,EricDier,RyanSessegnon,RodrigoBentancur,EmersonRoyal,Pierre-EmileHøjbjerg,DejanKulusevski,SonHeung-Min,HarryKane
