,date,team,opponent,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
15,2022-08-15,Liverpool,Crystal Palace,Alisson,AndrewRobertson,TrentAlexander-Arnold,NathanielPhillips,VirgilvanDijk,JamesMilner,Fabinho,HarveyElliott,LuisDíaz,MohamedSalah,DarwinNúñez,VicenteGuaita,NathanielClyne,MarcGuéhi,TyrickMitchell,JoachimAndersen,JoelWard,CheickDoucouré,JordanAyew,JeffreySchlupp,EberechiEze,WilfriedZaha
16,2022-08-13,Manchester City,Bournemouth,Ederson,JoãoCancelo,RúbenDias,KyleWalker,NathanAké,IlkayGündogan,KevinDeBruyne,PhilFoden,RiyadMahrez,Rodri,ErlingHaaland,MarkTravers,LloydKelly,JeffersonLerma,ChrisMepham,LewisCook,JackStacey,AdamSmith,BenPearson,RyanChristie,KiefferMoore,MarcusTavernier
17,2022-08-14,Nottingham Forest,West Ham United,DeanHenderson,ScottMcKenna,MoussaNiakhaté,JoeWorrall,OrelMangala,HarryToffolo,NecoWilliams,LewisO'Brien,TaiwoAwoniyi,JesseLingard,BrennanJohnson,LukaszFabianski,BenJohnson,KurtZouma,AaronCresswell,VladimírCoufal,TomásSoucek,PabloFornals,DeclanRice,MichailAntonio,SaïdBenrahma,JarrodBowen
18,2022-08-13,Southampton,Leeds United,GavinBazunu,MohammedSalisu,ArmelBella-Kotchap,JanBednarek,MoussaDjenepo,JamesWard-Prowse,RoméoLavia,KyleWalker-Peters,StuartArmstrong,MohamedElyounoussi,ChéAdams,IllanMeslier,DiegoLlorente,PascalStruijk,RobinKoch,RasmusKristensen,Rodrigo,JackHarrison,BrendenAaronson,MarcRoca,TylerAdams,PatrickBamford
19,2022-08-13,Wolverhampton Wanderers,Fulham,JoséSá,Jonny,RayanAït-Nouri,NathanCollins,MaximilianKilman,MorganGibbs-White,LeanderDendoncker,DanielPodence,RúbenNeves,PedroNeto,HwangHee-Chan,MarekRodák,AntoneeRobinson,KennyTete,TimReam,TosinAdarabioyo,JoãoPalhinha,HarrisonReed,BobbyDeCordova-Reid,AndreasPereira,NeeskensKebano,AleksandarMitrovic
20,2022-08-20,Bournemouth,Arsenal,MarkTravers,MarcosSenesi,LloydKelly,ChrisMepham,JordanZemura,BenPearson,MarcusTavernier,JeffersonLerma,AdamSmith,PhilipBilling,KiefferMoore,AaronRamsdale,OleksandrZinchenko,GabrielMagalhães,BenWhite,WilliamSaliba,GranitXhaka,MartinØdegaard,ThomasPartey,BukayoSaka,GabrielMartinelli,GabrielJesus
21,2022-08-20,Crystal Palace,Aston Villa,VicenteGuaita,JoelWard,TyrickMitchell,JoachimAndersen,MarcGuéhi,JeffreySchlupp,CheickDoucouré,EberechiEze,JordanAyew,WilfriedZaha,OdsonneÉdouard,EmilianoMartínez,EzriKonsa,TyroneMings,MattyCash,LucasDigne,JohnMcGinn,BoubacarKamara,JacobRamsey,LeonBailey,EmilianoBuendía,OllieWatkins
22,2022-08-20,Everton,Nottingham Forest,JordanPickford,ConorCoady,JamesTarkowski,MasonHolgate,VitaliiMykolenko,NathanPatterson,TomDavies,AlexIwobi,SalomónRondón,AnthonyGordon,DemaraiGray,DeanHenderson,SteveCook,ScottMcKenna,JoeWorrall,LewisO'Brien,NecoWilliams,HarryToffolo,OrelMangala,JesseLingard,TaiwoAwoniyi,BrennanJohnson
23,2022-08-20,Fulham,Brentford,BerndLeno,AntoneeRobinson,TosinAdarabioyo,TimReam,KennyTete,HarrisonReed,AndreasPereira,JayStansfield,BobbyDeCordova-Reid,JoãoPalhinha,AleksandarMitrovic,DavidRaya,AaronHickey,PontusJansson,BenMee,RicoHenry,ChristianNørgaard,JoshDasilva,MathiasJensen,YoaneWissa,IvanToney,BryanMbeumo
24,2022-08-21,Leeds United,Chelsea,IllanMeslier,PascalStruijk,RasmusKristensen,RobinKoch,DiegoLlorente,DanJames,TylerAdams,JackHarrison,BrendenAaronson,MarcRoca,Rodrigo,ÉdouardMendy,ThiagoSilva,KalidouKoulibaly,ReeceJames,Jorginho,ConorGallagher,RubenLoftus-Cheek,MarcCucurella,MasonMount,RaheemSterling,KaiHavertz
25,2022-08-20,Leicester City,Southampton,DannyWard,JonnyEvans,DanielAmartey,TimothyCastagne,JamesJustin,WilfredNdidi,HarveyBarnes,AyozePérez,JamesMaddison,KiernanDewsbury-Hall,JamieVardy,GavinBazunu,MoussaDjenepo,ArmelBella-Kotchap,KyleWalker-Peters,MohammedSalisu,AdamArmstrong,RoméoLavia,JoeAribo,JamesWard-Prowse,MohamedElyounoussi,SékouMara
