,date,team,opponent,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
55,2021-09-25,Leeds United,West Ham United,IllanMeslier,LiamCooper,JamieShackleton,CharlieCresswell,JuniorFirpo,Raphinha,StuartDallas,DanJames,MateuszKlich,KalvinPhillips,Rodrigo,LukaszFabianski,AaronCresswell,VladimírCoufal,AngeloOgbonna,KurtZouma,SaïdBenrahma,JarrodBowen,PabloFornals,TomásSoucek,DeclanRice,MichailAntonio
56,2021-09-25,Leicester City,Burnley,KasperSchmeichel,RicardoPereira,JannikVestergaard,RyanBertrand,ÇaglarSöyüncü,WilfredNdidi,BoubakarySoumaré,YouriTielemans,JamieVardy,AdemolaLookman,HarveyBarnes,NickPope,MatthewLowton,BenMee,CharlieTaylor,JamesTarkowski,JoshBrownhill,AshleyWestwood,MaxwelCornet,DwightMcNeil,MatejVydra,ChrisWood
57,2021-09-25,Manchester United,Aston Villa,DaviddeGea,RaphaëlVarane,HarryMaguire,LukeShaw,AaronWan-Bissaka,BrunoFernandes,PaulPogba,ScottMcTominay,MasonGreenwood,Fred,CristianoRonaldo,EmilianoMartínez,TyroneMings,EzriKonsa,KortneyHause,MattTargett,MattyCash,JacobRamsey,JohnMcGinn,DouglasLuiz,OllieWatkins,DannyIngs
58,2021-09-26,Southampton,Wolverhampton Wanderers,AlexMcCarthy,MohammedSalisu,TinoLivramento,KyleWalker-Peters,JanBednarek,MohamedElyounoussi,NathanRedmond,JamesWard-Prowse,OriolRomeu,ChéAdams,AdamArmstrong,JoséSá,MaximilianKilman,RomainSaïss,ConorCoady,Marçal,NélsonSemedo,LeanderDendoncker,JoãoMoutinho,HwangHee-Chan,RaúlJiménez,DanielPodence
59,2021-09-25,Watford,Newcastle United,BenFoster,DannyRose,KikoFemenía,CraigCathcart,WilliamTroost-Ekong,MoussaSissoko,EmmanuelDennis,IsmaïlaSarr,JurajKucka,TomCleverley,JoshuaKing,KarlDarlow,CiaranClark,FedericoFernández,MattRitchie,JavierManquillo,MiguelAlmirón,IsaacHayden,JoeWillock,SeanLongstaff,Joelinton,AllanSaint-Maximin
60,2021-10-02,Brighton & Hove Albion,Arsenal,RobertSánchez,LewisDunk,ShaneDuffy,DanBurn,MarcCucurella,JakubModer,PascalGroß,AdamLallana,JoëlVeltman,LeandroTrossard,NealMaupay,AaronRamsdale,BenWhite,KieranTierney,TakehiroTomiyasu,GabrielMagalhães,MartinØdegaard,ThomasPartey,EmileSmithRowe,BukayoSaka,AlbertSambiLokonga,Pierre-EmerickAubameyang
61,2021-10-02,Burnley,Norwich City,NickPope,MatthewLowton,JamesTarkowski,NathanCollins,CharlieTaylor,AaronLennon,DwightMcNeil,JoshBrownhill,AshleyWestwood,ChrisWood,MatejVydra,TimKrul,OzanKabak,DimitrisGiannoulis,BenGibson,MaxAarons,GrantHanley,MathiasNormann,PierreLees-Melou,KennyMcLean,JoshSargent,TeemuPukki
62,2021-10-02,Chelsea,Southampton,ÉdouardMendy,AntonioRüdiger,ThiagoSilva,TrevohChalobah,RubenLoftus-Cheek,BenChilwell,CésarAzpilicueta,MateoKovacic,RomeluLukaku,TimoWerner,CallumHudson-Odoi,AlexMcCarthy,TinoLivramento,JanBednarek,MohammedSalisu,KyleWalker-Peters,OriolRomeu,NathanTella,TheoWalcott,JamesWard-Prowse,NathanRedmond,AdamArmstrong
63,2021-10-03,Crystal Palace,Leicester City,VicenteGuaita,MarcGuéhi,JoelWard,JoachimAndersen,TyrickMitchell,ConorGallagher,LukaMilivojevic,JamesMcArthur,WilfriedZaha,OdsonneÉdouard,JordanAyew,KasperSchmeichel,TimothyCastagne,RyanBertrand,ÇaglarSöyüncü,JannikVestergaard,YouriTielemans,HarveyBarnes,HamzaChoudhury,AdemolaLookman,KelechiIheanacho,JamieVardy
64,2021-10-02,Leeds United,Watford,IllanMeslier,LiamCooper,JamieShackleton,DiegoLlorente,JuniorFirpo,MateuszKlich,Raphinha,DanJames,KalvinPhillips,StuartDallas,Rodrigo,BenFoster,FranciscoSierralta,DannyRose,WilliamTroost-Ekong,KikoFemenía,IsmaïlaSarr,EmmanuelDennis,JurajKucka,MoussaSissoko,OzanTufan,JoshuaKing
65,2021-10-03,Liverpool,Manchester City,Alisson,JoëlMatip,AndrewRobertson,JamesMilner,VirgilvanDijk,Fabinho,JordanHenderson,CurtisJones,SadioMané,MohamedSalah,DiogoJota,Ederson,JoãoCancelo,AymericLaporte,RúbenDias,KyleWalker,BernardoSilva,KevinDeBruyne,Rodri,JackGrealish,PhilFoden,GabrielJesus
66,2021-10-02,Manchester United,Everton,DaviddeGea,LukeShaw,VictorLindelöf,AaronWan-Bissaka,RaphaëlVarane,BrunoFernandes,AnthonyMartial,ScottMcTominay,Fred,MasonGreenwood,EdinsonCavani,JordanPickford,BenGodfrey,YerryMina,MichaelKeane,LucasDigne,AndrosTownsend,AnthonyGordon,AbdoulayeDoucouré,Allan,SalomónRondón,DemaraiGray
