,date,team,opponent,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
0,2021-08-13,Brentford,Arsenal,DavidRaya,KristofferAjer,EthanPinnock,PontusJansson,RicoHenry,VitalyJanelt,FrankOnyeka,SergiCanós,ChristianNørgaard,BryanMbeumo,IvanToney,BerndLeno,KieranTierney,PabloMarí,BenWhite,CalumChambers,EmileSmithRowe,GabrielMartinelli,NicolasPépé,GranitXhaka,AlbertSambiLokonga,FolarinBalogun
1,2021-08-14,Burnley,Brighton & Hove Albion,NickPope,MatthewLowton,BenMee,CharlieTaylor,JamesTarkowski,JóhannGudmundsson,JackCork,AshleyWestwood,DwightMcNeil,ChrisWood,JayRodríguez,RobertSánchez,LewisDunk,PascalGroß,AdamWebster,ShaneDuffy,StevenAlzate,YvesBissouma,EnockMwepu,LeandroTrossard,SollyMarch,NealMaupay
2,2021-08-14,Chelsea,Crystal Palace,ÉdouardMendy,TrevohChalobah,AndreasChristensen,AntonioRüdiger,MarcosAlonso,MateoKovacic,Jorginho,CésarAzpilicueta,ChristianPulisic,MasonMount,TimoWerner,VicenteGuaita,TyrickMitchell,MarcGuéhi,CheikhouKouyaté,JoelWard,JairoRiedewald,JordanAyew,JamesMcArthur,JeffreySchlupp,Jean-PhilippeMateta,WilfriedZaha
3,2021-08-14,Everton,Southampton,JordanPickford,LucasDigne,MasonHolgate,SéamusColeman,MichaelKeane,AndrosTownsend,DemaraiGray,Richarlison,Allan,AbdoulayeDoucouré,DominicCalvert-Lewin,AlexMcCarthy,TinoLivramento,RomainPerraud,MohammedSalisu,JackStephens,MoussaDjenepo,TheoWalcott,JamesWard-Prowse,OriolRomeu,AdamArmstrong,ChéAdams
4,2021-08-14,Leicester City,Wolverhampton Wanderers,KasperSchmeichel,LukeThomas,ÇaglarSöyüncü,DanielAmartey,RicardoPereira,JamesMaddison,AyozePérez,WilfredNdidi,HarveyBarnes,YouriTielemans,JamieVardy,JoséSá,MaximilianKilman,ConorCoady,RomainSaïss,RúbenNeves,Ki-JanaHoever,Marçal,JoãoMoutinho,Trincão,RaúlJiménez,AdamaTraoré
5,2021-08-14,Manchester United,Leeds United,DaviddeGea,HarryMaguire,LukeShaw,AaronWan-Bissaka,VictorLindelöf,Fred,DanJames,PaulPogba,ScottMcTominay,BrunoFernandes,MasonGreenwood,IllanMeslier,StuartDallas,LukeAyling,LiamCooper,PascalStruijk,MateuszKlich,JackHarrison,RobinKoch,Raphinha,Rodrigo,PatrickBamford
6,2021-08-15,Newcastle United,West Ham United,FreddieWoodman,FedericoFernández,MattRitchie,JacobMurphy,CiaranClark,EmilKrafth,JonjoShelvey,MiguelAlmirón,IsaacHayden,CallumWilson,AllanSaint-Maximin,LukaszFabianski,AngeloOgbonna,VladimírCoufal,CraigDawson,AaronCresswell,JarrodBowen,PabloFornals,SaïdBenrahma,TomásSoucek,DeclanRice,MichailAntonio
7,2021-08-14,Norwich City,Liverpool,TimKrul,MaxAarons,BenGibson,GrantHanley,DimitrisGiannoulis,PierreLees-Melou,LukasRupp,BillyGilmour,MilotRashica,ToddCantwell,TeemuPukki,Alisson,JoëlMatip,VirgilvanDijk,KonstantinosTsimikas,TrentAlexander-Arnold,AlexOxlade-Chamberlain,JamesMilner,NabyKeïta,SadioMané,MohamedSalah,DiogoJota
8,2021-08-15,Tottenham Hotspur,Manchester City,HugoLloris,SergioReguilón,DavinsonSánchez,EricDier,JaphetTanganga,DeleAlli,Pierre-EmileHøjbjerg,OliverSkipp,StevenBergwijn,SonHeung-Min,LucasMoura,Ederson,RúbenDias,BenjaminMendy,NathanAké,JoãoCancelo,Fernandinho,IlkayGündogan,JackGrealish,FerranTorres,RaheemSterling,RiyadMahrez
9,2021-08-14,Watford,Aston Villa,DanielBachmann,AdamMasina,CraigCathcart,WilliamTroost-Ekong,ChristianKabasele,KenSema,TomCleverley,IsmaïlaSarr,PeterEtebo,JurajKucka,EmmanuelDennis,EmilianoMartínez,MattTargett,TyroneMings,MattyCash,EzriKonsa,AshleyYoung,AnwarElGhazi,EmilianoBuendía,MarvelousNakamba,JohnMcGinn,DannyIngs
10,2021-08-22,Arsenal,Chelsea,BerndLeno,RobHolding,KieranTierney,CédricSoares,PabloMarí,EmileSmithRowe,NicolasPépé,BukayoSaka,AlbertSambiLokonga,GranitXhaka,GabrielMartinelli,ÉdouardMendy,CésarAzpilicueta,AndreasChristensen,AntonioRüdiger,MateoKovacic,Jorginho,MarcosAlonso,ReeceJames,RomeluLukaku,KaiHavertz,MasonMount
11,2021-08-21,Aston Villa,Newcastle United,EmilianoMartínez,AshleyYoung,EzriKonsa,TyroneMings,MattyCash,JacobRamsey,JohnMcGinn,DouglasLuiz,DannyIngs,AnwarElGhazi,EmilianoBuendía,FreddieWoodman,JamaalLascelles,MattRitchie,FedericoFernández,FabianSchär,JacobMurphy,IsaacHayden,JoeWillock,MiguelAlmirón,AllanSaint-Maximin,CallumWilson
12,2021-08-21,Brighton & Hove Albion,Watford,RobertSánchez,AdamWebster,SollyMarch,ShaneDuffy,LewisDunk,PascalGroß,AdamLallana,YvesBissouma,AlexisMacAllister,NealMaupay,LeandroTrossard,DanielBachmann,CraigCathcart,WilliamTroost-Ekong,AdamMasina,ChristianKabasele,KenSema,PeterEtebo,IsmaïlaSarr,ImrânLouza,TomCleverley,EmmanuelDennis
13,2021-08-21,Crystal Palace,Brentford,VicenteGuaita,JoelWard,JoachimAndersen,MarcGuéhi,TyrickMitchell,CheikhouKouyaté,JamesMcArthur,ConorGallagher,JeffreySchlupp,ChristianBenteke,WilfriedZaha,DavidRaya,EthanPinnock,PontusJansson,KristofferAjer,FrankOnyeka,ChristianNørgaard,VitalyJanelt,SergiCanós,RicoHenry,BryanMbeumo,IvanToney
14,2021-08-21,Leeds United,Everton,IllanMeslier,PascalStruijk,LukeAyling,LiamCooper,MateuszKlich,JuniorFirpo,KalvinPhillips,StuartDallas,JackHarrison,PatrickBamford,Raphinha,JordanPickford,YerryMina,SéamusColeman,LucasDigne,MichaelKeane,AbdoulayeDoucouré,Allan,DemaraiGray,AlexIwobi,DominicCalvert-Lewin,Richarlison
15,2021-08-21,Liverpool,Burnley,Alisson,VirgilvanDijk,JoëlMatip,KonstantinosTsimikas,TrentAlexander-Arnold,JordanHenderson,HarveyElliott,NabyKeïta,DiogoJota,SadioMané,MohamedSalah,NickPope,MatthewLowton,CharlieTaylor,JamesTarkowski,BenMee,JackCork,DwightMcNeil,JoshBrownhill,JóhannGudmundsson,AshleyBarnes,ChrisWood
16,2021-08-21,Manchester City,Norwich City,Ederson,RúbenDias,KyleWalker,AymericLaporte,JoãoCancelo,IlkayGündogan,BernardoSilva,Rodri,FerranTorres,JackGrealish,GabrielJesus,TimKrul,BenGibson,DimitrisGiannoulis,MaxAarons,GrantHanley,LukasRupp,BillyGilmour,PierreLees-Melou,TeemuPukki,ToddCantwell,MilotRashica
17,2021-08-22,Southampton,Manchester United,AlexMcCarthy,TinoLivramento,RomainPerraud,JackStephens,MohammedSalisu,OriolRomeu,JamesWard-Prowse,MoussaDjenepo,TheoWalcott,ChéAdams,AdamArmstrong,DaviddeGea,HarryMaguire,AaronWan-Bissaka,VictorLindelöf,LukeShaw,PaulPogba,Fred,BrunoFernandes,NemanjaMatic,MasonGreenwood,AnthonyMartial
18,2021-08-23,West Ham United,Leicester City,LukaszFabianski,CraigDawson,AngeloOgbonna,VladimírCoufal,AaronCresswell,JarrodBowen,SaïdBenrahma,TomásSoucek,PabloFornals,DeclanRice,MichailAntonio,KasperSchmeichel,DanielAmartey,RicardoPereira,ÇaglarSöyüncü,LukeThomas,YouriTielemans,JamesMaddison,HarveyBarnes,WilfredNdidi,AyozePérez,JamieVardy
19,2021-08-22,Wolverhampton Wanderers,Tottenham Hotspur,JoséSá,ConorCoady,MaximilianKilman,RomainSaïss,JoãoMoutinho,RúbenNeves,Marçal,NélsonSemedo,Trincão,AdamaTraoré,RaúlJiménez,HugoLloris,JaphetTanganga,SergioReguilón,DavinsonSánchez,EricDier,OliverSkipp,Pierre-EmileHøjbjerg,DeleAlli,StevenBergwijn,SonHeung-Min,LucasMoura
20,2021-08-28,Aston Villa,Brentford,EmilianoMartínez,EzriKonsa,AxelTuanzebe,MattyCash,MattTargett,AshleyYoung,CarneyChukwuemeka,DouglasLuiz,AnwarElGhazi,EmilianoBuendía,DannyIngs,DavidRaya,EthanPinnock,PontusJansson,KristofferAjer,RicoHenry,ChristianNørgaard,SergiCanós,VitalyJanelt,IvanToney,BryanMbeumo,SamanGhoddos
21,2021-08-28,Brighton & Hove Albion,Everton,RobertSánchez,AdamWebster,ShaneDuffy,LewisDunk,JakubModer,YvesBissouma,AdamLallana,PascalGroß,LeandroTrossard,NealMaupay,AlexisMacAllister,JordanPickford,MasonHolgate,MichaelKeane,SéamusColeman,LucasDigne,AbdoulayeDoucouré,Allan,AndrosTownsend,DemaraiGray,Richarlison,DominicCalvert-Lewin
22,2021-08-29,Burnley,Leeds United,NickPope,BenMee,JamesTarkowski,CharlieTaylor,MatthewLowton,DwightMcNeil,JoshBrownhill,JóhannGudmundsson,AshleyWestwood,ChrisWood,AshleyBarnes,IllanMeslier,PascalStruijk,DiegoLlorente,LiamCooper,KalvinPhillips,Rodrigo,LukeAyling,StuartDallas,Raphinha,JackHarrison,PatrickBamford
23,2021-08-28,Liverpool,Chelsea,Alisson,AndrewRobertson,TrentAlexander-Arnold,JoëlMatip,VirgilvanDijk,JordanHenderson,HarveyElliott,Fabinho,SadioMané,RobertoFirmino,MohamedSalah,ÉdouardMendy,AndreasChristensen,AntonioRüdiger,CésarAzpilicueta,Jorginho,N'GoloKanté,ReeceJames,MarcosAlonso,KaiHavertz,RomeluLukaku,MasonMount
24,2021-08-28,Manchester City,Arsenal,Ederson,AymericLaporte,JoãoCancelo,RúbenDias,KyleWalker,BernardoSilva,IlkayGündogan,Rodri,FerranTorres,GabrielJesus,JackGrealish,BerndLeno,RobHolding,SeadKolasinac,CédricSoares,CalumChambers,KieranTierney,GranitXhaka,EmileSmithRowe,BukayoSaka,MartinØdegaard,Pierre-EmerickAubameyang
25,2021-08-28,Newcastle United,Southampton,FreddieWoodman,FedericoFernández,JamaalLascelles,FabianSchär,MiguelAlmirón,MattRitchie,JacobMurphy,JoeWillock,SeanLongstaff,AllanSaint-Maximin,CallumWilson,AlexMcCarthy,KyleWalker-Peters,JackStephens,MohammedSalisu,TinoLivramento,MohamedElyounoussi,MoussaDjenepo,JamesWard-Prowse,OriolRomeu,AdamArmstrong,ChéAdams
26,2021-08-28,Norwich City,Leicester City,TimKrul,MaxAarons,BenGibson,GrantHanley,BrandonWilliams,KennyMcLean,PierreLees-Melou,BillyGilmour,MilotRashica,ToddCantwell,TeemuPukki,KasperSchmeichel,RicardoPereira,LukeThomas,DanielAmartey,ÇaglarSöyüncü,MarcAlbrighton,YouriTielemans,HarveyBarnes,WilfredNdidi,JamieVardy,JamesMaddison
27,2021-08-29,Tottenham Hotspur,Watford,HugoLloris,DavinsonSánchez,EricDier,JaphetTanganga,SergioReguilón,DeleAlli,Pierre-EmileHøjbjerg,OliverSkipp,StevenBergwijn,SonHeung-Min,HarryKane,DanielBachmann,CraigCathcart,FranciscoSierralta,AdamMasina,WilliamTroost-Ekong,JurajKucka,PeterEtebo,MoussaSissoko,IsmaïlaSarr,EmmanuelDennis,JoshuaKing
28,2021-08-28,West Ham United,Crystal Palace,LukaszFabianski,CraigDawson,AngeloOgbonna,AaronCresswell,VladimírCoufal,TomásSoucek,DeclanRice,SaïdBenrahma,JarrodBowen,PabloFornals,MichailAntonio,VicenteGuaita,TyrickMitchell,JoachimAndersen,MarcGuéhi,JoelWard,ConorGallagher,CheikhouKouyaté,JamesMcArthur,ChristianBenteke,WilfriedZaha,JordanAyew
29,2021-08-29,Wolverhampton Wanderers,Manchester United,JoséSá,MaximilianKilman,ConorCoady,RomainSaïss,JoãoMoutinho,Marçal,RúbenNeves,NélsonSemedo,RaúlJiménez,Trincão,AdamaTraoré,DaviddeGea,AaronWan-Bissaka,HarryMaguire,LukeShaw,RaphaëlVarane,JadonSancho,PaulPogba,DanJames,BrunoFernandes,Fred,MasonGreenwood
30,2021-09-11,Arsenal,Norwich City,AaronRamsdale,GabrielMagalhães,BenWhite,KieranTierney,TakehiroTomiyasu,MartinØdegaard,BukayoSaka,AlbertSambiLokonga,NicolasPépé,AinsleyMaitland-Niles,Pierre-EmerickAubameyang,TimKrul,MaxAarons,AndrewOmobamidele,GrantHanley,BrandonWilliams,PierreLees-Melou,KennyMcLean,LukasRupp,TeemuPukki,KieranDowell,ChristosTzolis
31,2021-09-11,Brentford,Brighton & Hove Albion,DavidRaya,PontusJansson,KristofferAjer,EthanPinnock,ShandonBaptiste,VitalyJanelt,RicoHenry,ChristianNørgaard,SergiCanós,BryanMbeumo,IvanToney,RobertSánchez,AdamWebster,ShaneDuffy,LewisDunk,JoëlVeltman,YvesBissouma,AdamLallana,MarcCucurella,NealMaupay,DannyWelbeck,LeandroTrossard
32,2021-09-11,Chelsea,Aston Villa,ÉdouardMendy,AntonioRüdiger,ThiagoSilva,TrevohChalobah,MateoKovacic,SaúlÑíguez,MarcosAlonso,CallumHudson-Odoi,RomeluLukaku,KaiHavertz,HakimZiyech,JedSteer,TyroneMings,MattyCash,EzriKonsa,MattTargett,AxelTuanzebe,JacobRamsey,JohnMcGinn,DouglasLuiz,DannyIngs,OllieWatkins
33,2021-09-11,Crystal Palace,Tottenham Hotspur,VicenteGuaita,TyrickMitchell,MarcGuéhi,JoachimAndersen,JoelWard,JamesMcArthur,ConorGallagher,CheikhouKouyaté,JordanAyew,ChristianBenteke,WilfriedZaha,HugoLloris,JaphetTanganga,SergioReguilón,EmersonRoyal,EricDier,DeleAlli,Pierre-EmileHøjbjerg,OliverSkipp,HarryWinks,LucasMoura,HarryKane
34,2021-09-13,Everton,Burnley,JordanPickford,BenGodfrey,MichaelKeane,YerryMina,SéamusColeman,AbdoulayeDoucouré,Allan,LucasDigne,DemaraiGray,AndrosTownsend,Richarlison,NickPope,CharlieTaylor,JamesTarkowski,BenMee,MatthewLowton,DwightMcNeil,JoshBrownhill,JóhannGudmundsson,AshleyWestwood,ChrisWood,AshleyBarnes
35,2021-09-12,Leeds United,Liverpool,IllanMeslier,LiamCooper,DiegoLlorente,JuniorFirpo,LukeAyling,JackHarrison,KalvinPhillips,Raphinha,StuartDallas,Rodrigo,PatrickBamford,Alisson,VirgilvanDijk,JoëlMatip,TrentAlexander-Arnold,AndrewRobertson,HarveyElliott,Fabinho,Thiago,MohamedSalah,SadioMané,DiogoJota
36,2021-09-11,Leicester City,Manchester City,KasperSchmeichel,TimothyCastagne,ÇaglarSöyüncü,RyanBertrand,JannikVestergaard,WilfredNdidi,YouriTielemans,MarcAlbrighton,JamesMaddison,HarveyBarnes,JamieVardy,Ederson,KyleWalker,AymericLaporte,RúbenDias,JoãoCancelo,IlkayGündogan,Rodri,BernardoSilva,GabrielJesus,FerranTorres,JackGrealish
37,2021-09-11,Manchester United,Newcastle United,DaviddeGea,HarryMaguire,AaronWan-Bissaka,RaphaëlVarane,LukeShaw,BrunoFernandes,JadonSancho,PaulPogba,MasonGreenwood,NemanjaMatic,CristianoRonaldo,FreddieWoodman,JavierManquillo,CiaranClark,IsaacHayden,JamaalLascelles,MattRitchie,Joelinton,JoeWillock,SeanLongstaff,MiguelAlmirón,AllanSaint-Maximin
38,2021-09-11,Southampton,West Ham United,AlexMcCarthy,JackStephens,MohammedSalisu,RomainPerraud,TinoLivramento,NathanRedmond,JamesWard-Prowse,MohamedElyounoussi,OriolRomeu,MoussaDjenepo,AdamArmstrong,LukaszFabianski,VladimírCoufal,AaronCresswell,CraigDawson,AngeloOgbonna,DeclanRice,SaïdBenrahma,PabloFornals,JarrodBowen,TomásSoucek,MichailAntonio
39,2021-09-11,Watford,Wolverhampton Wanderers,DanielBachmann,FranciscoSierralta,DannyRose,JeremyNgakia,WilliamTroost-Ekong,MoussaSissoko,IsmaïlaSarr,EmmanuelDennis,PeterEtebo,JurajKucka,JoshuaKing,JoséSá,RomainSaïss,ConorCoady,MaximilianKilman,RúbenNeves,NélsonSemedo,Marçal,JoãoMoutinho,AdamaTraoré,Trincão,RaúlJiménez
40,2021-09-18,Aston Villa,Everton,EmilianoMartínez,MattTargett,TyroneMings,MattyCash,EzriKonsa,AxelTuanzebe,DouglasLuiz,JohnMcGinn,JacobRamsey,DannyIngs,OllieWatkins,AsmirBegovic,MichaelKeane,YerryMina,LucasDigne,BenGodfrey,AlexIwobi,Allan,AbdoulayeDoucouré,AndrosTownsend,DemaraiGray,SalomónRondón
41,2021-09-19,Brighton & Hove Albion,Leicester City,RobertSánchez,LewisDunk,JoëlVeltman,MarcCucurella,ShaneDuffy,DannyWelbeck,SollyMarch,AdamLallana,YvesBissouma,NealMaupay,LeandroTrossard,KasperSchmeichel,ÇaglarSöyüncü,RyanBertrand,JannikVestergaard,RicardoPereira,YouriTielemans,WilfredNdidi,BoubakarySoumaré,JamesMaddison,JamieVardy,HarveyBarnes
42,2021-09-18,Burnley,Arsenal,NickPope,MatthewLowton,CharlieTaylor,BenMee,JamesTarkowski,JoshBrownhill,JóhannGudmundsson,AshleyWestwood,DwightMcNeil,AshleyBarnes,ChrisWood,AaronRamsdale,KieranTierney,GabrielMagalhães,BenWhite,TakehiroTomiyasu,ThomasPartey,MartinØdegaard,NicolasPépé,EmileSmithRowe,BukayoSaka,Pierre-EmerickAubameyang
43,2021-09-18,Liverpool,Crystal Palace,Alisson,JamesMilner,KonstantinosTsimikas,VirgilvanDijk,IbrahimaKonaté,Thiago,Fabinho,JordanHenderson,MohamedSalah,SadioMané,DiogoJota,VicenteGuaita,MarcGuéhi,TyrickMitchell,JoelWard,JoachimAndersen,CheikhouKouyaté,ConorGallagher,JamesMcArthur,JordanAyew,ChristianBenteke,WilfriedZaha
44,2021-09-18,Manchester City,Southampton,Ederson,KyleWalker,JoãoCancelo,NathanAké,RúbenDias,Fernandinho,BernardoSilva,IlkayGündogan,GabrielJesus,RaheemSterling,JackGrealish,AlexMcCarthy,JackStephens,TinoLivramento,JanBednarek,KyleWalker-Peters,JamesWard-Prowse,MohamedElyounoussi,NathanRedmond,OriolRomeu,AdamArmstrong,ChéAdams
45,2021-09-17,Newcastle United,Leeds United,KarlDarlow,JavierManquillo,IsaacHayden,CiaranClark,JamaalLascelles,MattRitchie,JoeWillock,SeanLongstaff,MiguelAlmirón,Joelinton,AllanSaint-Maximin,IllanMeslier,LukeAyling,JuniorFirpo,LiamCooper,StuartDallas,Rodrigo,MateuszKlich,KalvinPhillips,DanJames,Raphinha,PatrickBamford
46,2021-09-18,Norwich City,Watford,TimKrul,OzanKabak,BrandonWilliams,MaxAarons,GrantHanley,KennyMcLean,MathiasNormann,BillyGilmour,MilotRashica,TeemuPukki,JoshSargent,BenFoster,DannyRose,CraigCathcart,WilliamTroost-Ekong,KikoFemenía,TomCleverley,MoussaSissoko,IsmaïlaSarr,EmmanuelDennis,JurajKucka,JoshuaKing
47,2021-09-19,Tottenham Hotspur,Chelsea,HugoLloris,SergioReguilón,EmersonRoyal,EricDier,CristianRomero,TanguyNdombélé,Pierre-EmileHøjbjerg,DeleAlli,HarryKane,GiovaniLoCelso,SonHeung-Min,KepaArrizabalaga,ThiagoSilva,AndreasChristensen,AntonioRüdiger,CésarAzpilicueta,MarcosAlonso,MateoKovacic,Jorginho,KaiHavertz,MasonMount,RomeluLukaku
48,2021-09-19,West Ham United,Manchester United,LukaszFabianski,AngeloOgbonna,AaronCresswell,KurtZouma,VladimírCoufal,PabloFornals,TomásSoucek,DeclanRice,NikolaVlasic,JarrodBowen,SaïdBenrahma,DaviddeGea,LukeShaw,HarryMaguire,AaronWan-Bissaka,RaphaëlVarane,Fred,PaulPogba,ScottMcTominay,MasonGreenwood,BrunoFernandes,CristianoRonaldo
49,2021-09-18,Wolverhampton Wanderers,Brentford,JoséSá,MaximilianKilman,RomainSaïss,ConorCoady,RúbenNeves,Marçal,NélsonSemedo,JoãoMoutinho,Trincão,AdamaTraoré,RaúlJiménez,DavidRaya,KristofferAjer,PontusJansson,EthanPinnock,VitalyJanelt,SergiCanós,ChristianNørgaard,ShandonBaptiste,RicoHenry,IvanToney,BryanMbeumo
50,2021-09-26,Arsenal,Tottenham Hotspur,AaronRamsdale,TakehiroTomiyasu,KieranTierney,BenWhite,GabrielMagalhães,MartinØdegaard,ThomasPartey,GranitXhaka,EmileSmithRowe,BukayoSaka,Pierre-EmerickAubameyang,HugoLloris,EricDier,DavinsonSánchez,JaphetTanganga,SergioReguilón,DeleAlli,TanguyNdombélé,Pierre-EmileHøjbjerg,LucasMoura,HarryKane,SonHeung-Min
51,2021-09-25,Brentford,Liverpool,DavidRaya,EthanPinnock,KristofferAjer,PontusJansson,SergiCanós,VitalyJanelt,RicoHenry,FrankOnyeka,ChristianNørgaard,BryanMbeumo,IvanToney,Alisson,VirgilvanDijk,AndrewRobertson,TrentAlexander-Arnold,JoëlMatip,Fabinho,CurtisJones,JordanHenderson,SadioMané,MohamedSalah,DiogoJota
52,2021-09-25,Chelsea,Manchester City,ÉdouardMendy,AndreasChristensen,CésarAzpilicueta,AntonioRüdiger,N'GoloKanté,Jorginho,ReeceJames,MarcosAlonso,MateoKovacic,TimoWerner,RomeluLukaku,Ederson,JoãoCancelo,AymericLaporte,KyleWalker,RúbenDias,KevinDeBruyne,BernardoSilva,Rodri,JackGrealish,PhilFoden,GabrielJesus
53,2021-09-27,Crystal Palace,Brighton & Hove Albion,VicenteGuaita,JoelWard,MarcGuéhi,TyrickMitchell,JoachimAndersen,LukaMilivojevic,JamesMcArthur,ConorGallagher,WilfriedZaha,OdsonneÉdouard,JordanAyew,RobertSánchez,LewisDunk,DanBurn,ShaneDuffy,JoëlVeltman,MarcCucurella,AdamLallana,PascalGroß,NealMaupay,LeandroTrossard,DannyWelbeck
54,2021-09-25,Everton,Norwich City,JordanPickford,BenGodfrey,MichaelKeane,YerryMina,LucasDigne,AndrosTownsend,AlexIwobi,AbdoulayeDoucouré,Allan,DemaraiGray,SalomónRondón,TimKrul,MaxAarons,BenGibson,OzanKabak,GrantHanley,BrandonWilliams,PierreLees-Melou,KennyMcLean,MathiasNormann,TeemuPukki,JoshSargent
